ASCII.TXT

License CC0 PUBLIC DOMAIN

To the extent possible under law, Mark J. Olesen has waived all copyright 
and related or neighboring rights to TUI Library. This work is published 
from: United States.

[0x0/0] 
[0x1/1] 
[0x2/2] 
[0x3/3] 
[0x4/4] 
[0x5/5] 
[0x6/6] 
[0x7/7] 
[0x8/8] 
[0x9/9] 	
[0xa/10] 
[0xb/11] 
[0xc/12] 
[0xd/13] 
[0xe/14] 
[0xf/15] 
[0x10/16] 
[0x11/17] 
[0x12/18] 
[0x13/19] 
[0x14/20] 
[0x15/21] 
[0x16/22] 
[0x17/23] 
[0x18/24] 
[0x19/25] 
[0x1a/26] 
[0x1b/27] 
[0x1c/28] 
[0x1d/29] 
[0x1e/30] 
[0x1f/31] 
[0x20/32]  
[0x21/33] !
[0x22/34] "
[0x23/35] #
[0x24/36] $
[0x25/37] %
[0x26/38] &
[0x27/39] '
[0x28/40] (
[0x29/41] )
[0x2a/42] *
[0x2b/43] +
[0x2c/44] ,
[0x2d/45] -
[0x2e/46] .
[0x2f/47] /
[0x30/48] 0
[0x31/49] 1
[0x32/50] 2
[0x33/51] 3
[0x34/52] 4
[0x35/53] 5
[0x36/54] 6
[0x37/55] 7
[0x38/56] 8
[0x39/57] 9
[0x3a/58] :
[0x3b/59] ;
[0x3c/60] <
[0x3d/61] =
[0x3e/62] >
[0x3f/63] ?
[0x40/64] @
[0x41/65] A
[0x42/66] B
[0x43/67] C
[0x44/68] D
[0x45/69] E
[0x46/70] F
[0x47/71] G
[0x48/72] H
[0x49/73] I
[0x4a/74] J
[0x4b/75] K
[0x4c/76] L
[0x4d/77] M
[0x4e/78] N
[0x4f/79] O
[0x50/80] P
[0x51/81] Q
[0x52/82] R
[0x53/83] S
[0x54/84] T
[0x55/85] U
[0x56/86] V
[0x57/87] W
[0x58/88] X
[0x59/89] Y
[0x5a/90] Z
[0x5b/91] [
[0x5c/92] \
[0x5d/93] ]
[0x5e/94] ^
[0x5f/95] _
[0x60/96] `
[0x61/97] a
[0x62/98] b
[0x63/99] c
[0x64/100] d
[0x65/101] e
[0x66/102] f
[0x67/103] g
[0x68/104] h
[0x69/105] i
[0x6a/106] j
[0x6b/107] k
[0x6c/108] l
[0x6d/109] m
[0x6e/110] n
[0x6f/111] o
[0x70/112] p
[0x71/113] q
[0x72/114] r
[0x73/115] s
[0x74/116] t
[0x75/117] u
[0x76/118] v
[0x77/119] w
[0x78/120] x
[0x79/121] y
[0x7a/122] z
[0x7b/123] {
[0x7c/124] |
[0x7d/125] }
[0x7e/126] ~
[0x7f/127] 
[0x80/128] Ä
[0x81/129] Å
[0x82/130] Ç
[0x83/131] É
[0x84/132] Ñ
[0x85/133] Ö
[0x86/134] Ü
[0x87/135] á
[0x88/136] à
[0x89/137] â
[0x8a/138] ä
[0x8b/139] ã
[0x8c/140] å
[0x8d/141] ç
[0x8e/142] é
[0x8f/143] è
[0x90/144] ê
[0x91/145] ë
[0x92/146] í
[0x93/147] ì
[0x94/148] î
[0x95/149] ï
[0x96/150] ñ
[0x97/151] ó
[0x98/152] ò
[0x99/153] ô
[0x9a/154] ö
[0x9b/155] õ
[0x9c/156] ú
[0x9d/157] ù
[0x9e/158] û
[0x9f/159] ü
[0xa0/160] †
[0xa1/161] °
[0xa2/162] ¢
[0xa3/163] £
[0xa4/164] §
[0xa5/165] •
[0xa6/166] ¶
[0xa7/167] ß
[0xa8/168] ®
[0xa9/169] ©
[0xaa/170] ™
[0xab/171] ´
[0xac/172] ¨
[0xad/173] ≠
[0xae/174] Æ
[0xaf/175] Ø
[0xb0/176] ∞
[0xb1/177] ±
[0xb2/178] ≤
[0xb3/179] ≥
[0xb4/180] ¥
[0xb5/181] µ
[0xb6/182] ∂
[0xb7/183] ∑
[0xb8/184] ∏
[0xb9/185] π
[0xba/186] ∫
[0xbb/187] ª
[0xbc/188] º
[0xbd/189] Ω
[0xbe/190] æ
[0xbf/191] ø
[0xc0/192] ¿
[0xc1/193] ¡
[0xc2/194] ¬
[0xc3/195] √
[0xc4/196] ƒ
[0xc5/197] ≈
[0xc6/198] ∆
[0xc7/199] «
[0xc8/200] »
[0xc9/201] …
[0xca/202]  
[0xcb/203] À
[0xcc/204] Ã
[0xcd/205] Õ
[0xce/206] Œ
[0xcf/207] œ
[0xd0/208] –
[0xd1/209] —
[0xd2/210] “
[0xd3/211] ”
[0xd4/212] ‘
[0xd5/213] ’
[0xd6/214] ÷
[0xd7/215] ◊
[0xd8/216] ÿ
[0xd9/217] Ÿ
[0xda/218] ⁄
[0xdb/219] €
[0xdc/220] ‹
[0xdd/221] ›
[0xde/222] ﬁ
[0xdf/223] ﬂ
[0xe0/224] ‡
[0xe1/225] ·
[0xe2/226] ‚
[0xe3/227] „
[0xe4/228] ‰
[0xe5/229] Â
[0xe6/230] Ê
[0xe7/231] Á
[0xe8/232] Ë
[0xe9/233] È
[0xea/234] Í
[0xeb/235] Î
[0xec/236] Ï
[0xed/237] Ì
[0xee/238] Ó
[0xef/239] Ô
[0xf0/240] 
[0xf1/241] Ò
[0xf2/242] Ú
[0xf3/243] Û
[0xf4/244] Ù
[0xf5/245] ı
[0xf6/246] ˆ
[0xf7/247] ˜
[0xf8/248] ¯
[0xf9/249] ˘
[0xfa/250] ˙
[0xfb/251] ˚
[0xfc/252] ¸
[0xfd/253] ˝
[0xfe/254] ˛
[0xff/255] ˇ
